Date,AAPL,BA,DIS,IBM,KO,MSFT
2012-05-11,268.92706196847354,135.8950602384591,141.27132208772412,153.68220591975765,135.9122828433388,102.23097216334764
2012-05-14,264.8982000993961,135.08221190420903,140.06200982618702,152.36058956513264,134.859653941372,100.6561704919395
2012-05-15,262.50177085727734,134.08461185826073,139.56588626832,152.05500578062174,134.33333279793723,99.11417171319333
2012-05-16,259.13728141792257,133.65970265376217,139.78295141412306,152.58212760917726,133.91228391413102,98.09711308262212
2012-05-17,251.56361312160257,128.81951225012523,137.4573700187742,151.17647717091546,131.7894785027755,97.50656089141766
2012-05-18,251.68698390122836,127.7480143384129,135.84496549857678,149.64095799554755,129.91228605571544,96.03018667111213
2012-05-21,266.3502903952502,132.60668273213506,137.6434089601502,151.07716098384577,130.71930199338678,97.60498834252027
2012-05-22,264.305042109022,132.05246988077047,137.6434089601502,150.3590653181114,130.15789902001097,97.63779749288781
2012-05-23,270.75402912797284,132.2187295078068,137.085268478985,149.82429660942464,130.7894790381716,95.50525278064276
2012-05-24,268.2674540635187,131.88619615915738,137.79844535413636,149.80137928269,132.5613992256031,95.37401617917263
2012-05-25,266.8295813123174,129.318305225811,137.984496124031,148.43392827459573,131.98246202970807,95.34120702880512
2012-05-29,271.5654935882929,130.0572697888738,141.02325439453125,150.08404574046628,132.38596330609238,96.9816270009483
2012-05-30,274.8398372053122,128.19138743841992,140.15504112539367,148.6096316651711,131.68420624314697,96.2598444659793
2012-05-31,274.1565080493858,128.59781865283333,141.73643126968264,147.36440251405173,131.10526904725194,95.76771972587744
2012-06-01,266.2126767277548,124.21946524471181,137.67442333605862,144.44615022715664,128.22806375068532,93.33989891803017
2012-06-04,267.7786594401328,124.69979432488918,137.7054258834484,144.03361503227424,129.19298138534813,93.66797790629437
2012-06-05,267.0858519211045,124.84759005641708,139.03876016306322,144.53781953409518,128.49122432240273,93.53674756252983
2012-06-06,271.1811383615459,127.50784275103587,141.17829078851747,148.1971081271182,130.89473791289748,96.29265361634684
2012-06-07,271.3045091411716,129.22592936996188,141.48837540500844,148.5408796849672,130.31578733209977,95.89895006964201
2012-06-08,275.3855526937432,129.20746547445344,143.37985016578853,149.07563673682446,131.99999625222728,97.27690309655051
2012-06-11,271.04349935083354,129.5215208330177,142.01550151026524,147.06646560967204,130.98246256510419,94.81627313833572
2012-06-12,273.41146816042965,134.08461185826073,143.8139568003573,148.62491376860402,131.92981920744245,96.09580497184722
2012-06-13,271.51331190479874,133.12395369790602,143.3488357898801,147.5172002347219,131.03509200246714,95.57086482367225
2012-06-14,271.2143379756194,132.73600047357777,146.29457458969236,149.04508418678807,132.8771892346834,96.2598444659793
2012-06-15,272.4481471447445,132.99463595646327,146.01550434910976,152.10085209092045,133.49122164542214,98.49081662932694
2012-06-18,277.97654181161926,132.82837632942693,146.04650689649952,151.48204929859693,133.29825150339227,97.90026443812249
2012-06-19,278.7500674763149,134.71272257538928,147.31782425281614,151.97097169698492,132.8771892346834,100.72178879267457
2012-06-20,277.95755974219867,134.87899629700235,147.99999858057774,151.85638506331173,132.5613992256031,101.47638047801111
2012-06-21,274.12802227364637,131.8492542735638,146.97674891745396,147.73873827876656,130.99999678762336,98.88451391832619
2012-06-22,276.2302421113535,132.9392160807845,147.1938022347384,147.9755584262441,131.4736884936952,100.72178879267457
2012-06-25,270.8537039998439,131.25808544202883,144.80620391609133,147.3338499640154,131.17543270713406,97.9986918892251
2012-06-26,271.45162651498583,131.03639184473698,146.66666430096294,146.6386599681862,131.7193014579907,98.49081662932694
2012-06-27,272.6237249510813,132.77295645374812,148.43410521514656,147.4408013743868,133.92981813665023,98.98294136942877
2012-06-28,270.0374750147561,132.237207497892,148.27906882116037,146.21848955000212,134.33333279793723,98.12992223298966
2012-06-29,277.1318777372258,137.26214961322722,150.3875968992248,149.41177307137175,137.1754428796601,100.36089439633729
2012-07-02,281.1749571509561,135.19305165556662,151.06977122698646,149.60275856538001,138.45613713850057,100.2624669452347
2012-07-03,284.44453624320766,137.20671564297172,150.6666671398074,149.67914576888563,138.87719940720945,100.91863743717423
